"Name","MB"
"[wham] Hikaru ga Shinda Natsu - 01 (BD 1080p AV1 Opus EAC-3 5.1 Dual Audio)-nojp-aac-stereo.mkv","517.2"
"[wham] Hikaru ga Shinda Natsu - 02 (BD 1080p AV1 Opus EAC-3 5.1 Dual Audio)-nojp-aac-stereo.mkv","866.8"
"[wham] Hikaru ga Shinda Natsu - 03 (BD 1080p AV1 Opus EAC-3 5.1 Dual Audio)-nojp-aac-stereo.mkv","847.67"
"[wham] Hikaru ga Shinda Natsu - 04 (BD 1080p AV1 Opus EAC-3 5.1 Dual Audio)-nojp-aac-stereo.mkv","650.25"
"[wham] Hikaru ga Shinda Natsu - 05 (BD 1080p AV1 Opus EAC-3 5.1 Dual Audio)-nojp-aac-stereo.mkv","802.49"
"[wham] Hikaru ga Shinda Natsu - 06 (BD 1080p AV1 Opus EAC-3 5.1 Dual Audio)-nojp-aac-stereo.mkv","590.87"
"[wham] Hikaru ga Shinda Natsu - 07 (BD 1080p AV1 Opus EAC-3 5.1 Dual Audio)-nojp-aac-stereo.mkv","732.44"
"[wham] Hikaru ga Shinda Natsu - 08 (BD 1080p AV1 Opus EAC-3 5.1 Dual Audio)-nojp-aac-stereo.mkv","277.85"
"[wham] Hikaru ga Shinda Natsu - 09 (BD 1080p AV1 Opus EAC-3 5.1 Dual Audio)-nojp-aac-stereo.mkv","907.49"
"[wham] Hikaru ga Shinda Natsu - 11 (BD 1080p AV1 Opus EAC-3 5.1 Dual Audio)-nojp-aac-stereo.mkv","795.38"
