File,SizeMB,Duration_s,VideoCodec,Resolution,AudioInfo
[wham] Hikaru ga Shinda Natsu - 01 (BD 1080p AV1 Opus EAC-3 5.1 Dual Audio)-nojp-aac-stereo.mkv,517.2,1371.21,av1,1920x1080,aac:2:eng
[wham] Hikaru ga Shinda Natsu - 02 (BD 1080p AV1 Opus EAC-3 5.1 Dual Audio)-nojp-aac-stereo.mkv,866.8,1371.05,av1,1920x1080,aac:2:eng
[wham] Hikaru ga Shinda Natsu - 03 (BD 1080p AV1 Opus EAC-3 5.1 Dual Audio)-nojp-aac-stereo.mkv,847.67,1371.05,av1,1920x1080,aac:2:eng
[wham] Hikaru ga Shinda Natsu - 04 (BD 1080p AV1 Opus EAC-3 5.1 Dual Audio)-nojp-aac-stereo.mkv,650.25,1371.21,av1,1920x1080,aac:2:eng
[wham] Hikaru ga Shinda Natsu - 05 (BD 1080p AV1 Opus EAC-3 5.1 Dual Audio)-nojp-aac-stereo.mkv,802.49,1371.21,av1,1920x1080,aac:2:eng
[wham] Hikaru ga Shinda Natsu - 06 (BD 1080p AV1 Opus EAC-3 5.1 Dual Audio)-nojp-aac-stereo.mkv,590.87,1371.21,av1,1920x1080,aac:2:eng
[wham] Hikaru ga Shinda Natsu - 07 (BD 1080p AV1 Opus EAC-3 5.1 Dual Audio)-nojp-aac-stereo.mkv,732.44,1371.05,av1,1920x1080,aac:2:eng
[wham] Hikaru ga Shinda Natsu - 08 (BD 1080p AV1 Opus EAC-3 5.1 Dual Audio)-nojp-aac-stereo.mkv,277.85,541.63,av1,1920x1080,aac:2:eng
[wham] Hikaru ga Shinda Natsu - 09 (BD 1080p AV1 Opus EAC-3 5.1 Dual Audio)-nojp-aac-stereo.mkv,907.49,1371.05,av1,1920x1080,aac:2:eng
[wham] Hikaru ga Shinda Natsu - 10 (BD 1080p AV1 Opus EAC-3 5.1 Dual Audio)-nojp-aac-stereo.mkv,952.46,1371.21,av1,1920x1080,aac:2:eng
[wham] Hikaru ga Shinda Natsu - 11 (BD 1080p AV1 Opus EAC-3 5.1 Dual Audio)-nojp-aac-stereo.mkv,795.38,1371.05,av1,1920x1080,aac:2:eng
[wham] Hikaru ga Shinda Natsu - 12 (BD 1080p AV1 Opus EAC-3 5.1 Dual Audio)-nojp-aac-stereo.mkv,868.08,1371.05,av1,1920x1080,aac:2:eng
